시점,관측지점별,평균기온 (℃),대분류
2000,속초,12,강원도
2000,철원,10.2,강원도
2000,동두천,11,경기도
2000,대관령,6.9,강원도
2000,춘천,11.1,강원도
2000,강릉,13.5,강원도
2000,동해,12.5,강원도
2000,서울,12.7,서울특별시
2000,인천,12.7,인천광역시
2000,원주,11.2,경상북도
2000,울릉도,12.8,경상북도
2000,수원,12.3,경기도
2000,영월,10.6,강원도
2000,충주,11.2,충청북도
2000,서산,11.3,충청남도
2000,울진,12.6,경상북도
2000,청주,12.3,충청북도
2000,대전,12.4,대전광역시
2000,추풍령,11.4,충청북도
2000,안동,11.8,경상북도
2000,포항,14.5,경상북도
2000,군산,12.7,전라북도
2000,대구,14.2,대구광역시
2000,전주,13.6,전라북도
2000,울산,14.3,울산광역시
2000,창원,14.7,경상남도
2000,광주,13.5,광주광역시
2000,부산,14.9,부산광역시
2000,통영,14.5,경상남도
2000,목포,13.6,전라남도
2000,여수,14.3,전라남도
2000,흑산도,12.7,전라남도
2000,완도,13.2,전라남도
2000,제주,15.7,제주도
2000,고산,15.1,제주도
2000,성산,15.3,제주도
2000,서귀포,17.2,제주도
2000,진주,13.4,경상남도
2000,강화,10.6,인천광역시
2000,양평,11.6,경기도
2000,이천,11.3,경기도
2000,인제,10.7,강원도
2000,홍천,10.5,강원도
2000,태백,9.1,강원도
2000,제천,9.9,충청북도
2000,보은,11.1,충청북도
2000,천안,11,충청남도
2000,보령,12.5,충청남도
2000,부여,12.3,충청남도
2000,금산,11.2,충청남도
2000,부안,12.3,전라북도
2000,임실,10.4,전라북도
2000,정읍,12.6,전라북도
2000,남원,12.1,전라북도
2000,장수,10.2,전라북도
2000,장흥,12.7,전라남도
2000,해남,13.6,전라남도
2000,고흥,13.4,전라남도
2000,봉화,9.6,경상북도
2000,영주,11.7,경상북도
2000,문경,11.8,경상북도
2000,영덕,12.6,경상북도
2000,의성,11.4,경상북도
2000,구미,12.8,경상북도
2000,영천,12.8,경상북도
2000,거창,11.6,경상남도
2000,합천,13.2,경상남도
2000,밀양,13.2,경상남도
2000,산청,12.9,경상남도
2000,거제,13.7,경상남도
2000,남해,14,경상남도
2001,속초,12.2,강원도
2001,철원,10,강원도
2001,동두천,10.8,경기도
2001,대관령,7.5,강원도
2001,춘천,11.1,강원도
2001,백령도,11,인천광역시
2001,강릉,13.4,강원도
2001,동해,12.6,강원도
2001,서울,12.8,서울특별시
2001,인천,12.8,인천광역시
2001,원주,11.5,경상북도
2001,울릉도,12.6,경상북도
2001,수원,12.1,경기도
2001,영월,10.4,강원도
2001,충주,11.7,충청북도
2001,서산,11.8,충청남도
2001,울진,13.1,경상북도
2001,청주,12.9,충청북도
2001,대전,13.1,대전광역시
2001,추풍령,11.9,충청북도
2001,안동,11.7,경상북도
2001,포항,14.9,경상북도
2001,군산,13.3,전라북도
2001,대구,14.8,대구광역시
2001,전주,13.9,전라북도
2001,울산,14.6,울산광역시
2001,창원,15,경상남도
2001,광주,13.8,광주광역시
2001,부산,15.3,부산광역시
2001,통영,14.8,경상남도
2001,목포,13.9,전라남도
2001,여수,14.8,전라남도
2001,흑산도,13.5,전라남도
2001,완도,13.5,전라남도
2001,제주,16.1,제주도
2001,고산,15.6,제주도
2001,성산,14.8,제주도
2001,서귀포,17.4,제주도
2001,진주,13.4,경상남도
2001,강화,10.8,인천광역시
2001,양평,11.6,경기도
2001,이천,11.1,경기도
2001,인제,10.5,강원도
