"시점","해역구분(1)","연안구분명(1)","층별구분(1)",수온Temp. (℃)
"2011","남해","진해만","표층",16.52
"2011","남해","거제도동안","표층",13.74
"2011","남해","거제도남안","표층",16.50
"2011","남해","통영연안","표층",16.89
"2011","남해","통영외안","표층",16.70
"2011","남해","고성자란만","표층",17.20
"2011","남해","사천연안","표층",16.47
"2011","남해","진주만","표층",16.76
"2011","남해","남해도남안","표층",17.41
"2011","남해","여수연안","표층",16.84
"2011","남해","여자만","표층",17.44
"2011","남해","고흥연안","표층",16.79
"2011","남해","제주연안","표층",18.93
"2011","남해","조천연안","표층",18.49
"2011","남해","성산연안","표층",18.38
"2011","남해","표선연안","표층",19.10
"2011","남해","서귀포연안","표층",19.65
"2011","남해","대정연안","표층",19.40
"2011","남해","한림연안","표층",18.93
"2011","남해","진도연안","표층",15.38
"2011","남해","해남만","표층",15.42
"2011","남해","기장연안","표층",16.13
"2011","동해","거진연안","표층",11.94
"2011","동해","속초연안","표층",12.64
"2011","동해","양양연안","표층",13.38
"2011","동해","주문진연안","표층",14.00
"2011","동해","강릉연안","표층",14.14
"2011","동해","동해연안","표층",14.99
"2011","동해","삼척연안","표층",15.33
"2011","동해","죽변연안","표층",15.99
"2011","동해","후포연안","표층",16.78
"2011","동해","축산연안","표층",16.12
"2011","동해","강구연안","표층",15.95
"2011","동해","월포연안","표층",15.51
"2011","동해","영일만","표층",16.04
"2011","동해","구룡포연안","표층",16.28
"2011","동해","감포연안","표층",16.66
"2011","서해","신안연안","표층",14.77
"2011","서해","무안연안","표층",15.93
"2011","서해","고창연안","표층",16.16
"2011","서해","전주포연안","표층",14.92
"2011","서해","군산연안","표층",15.01
"2011","서해","보령연안","표층",14.81
"2011","서해","태안연안","표층",13.14
"2011","서해","가로림연안","표층",12.46
"2011","서해","대산연안","표층",12.42
"2011","서해","아산연안","표층",13.19
"2011","서해","천수만","표층",14.90
"2011","서해","목포연안","표층",15.56
"2012","남해","진해만","표층",16.62
"2012","남해","거제도동안","표층",18.03
"2012","남해","거제도남안","표층",16.91
"2012","남해","통영연안","표층",16.64
"2012","남해","통영외안","표층",16.93
"2012","남해","고성자란만","표층",16.74
"2012","남해","사천연안","표층",16.64
"2012","남해","진주만","표층",16.47
"2012","남해","남해도남안","표층",16.93
"2012","남해","여수연안","표층",16.56
"2012","남해","여자만","표층",16.43
"2012","남해","고흥연안","표층",16.29
"2012","남해","제주연안","표층",18.25
"2012","남해","조천연안","표층",17.74
"2012","남해","성산연안","표층",17.74
"2012","남해","표선연안","표층",18.37
"2012","남해","서귀포연안","표층",19.25
"2012","남해","대정연안","표층",18.68
"2012","남해","한림연안","표층",18.62
"2012","남해","진도연안","표층",15.44
"2012","남해","해남만","표층",15.48
"2012","남해","기장연안","표층",18.09
"2012","동해","거진연안","표층",14.91
"2012","동해","속초연안","표층",15.16
